Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Transaction_Time,Location,Fraudulent
T00001,U0103,132.41,Online,2025-01-01 00:00:00,Urban,0
T00002,U0436,25.97,Online,2025-01-01 01:00:00,Rural,0
T00003,U0861,118.28,POS,2025-01-01 02:00:00,Suburban,1
T00004,U0271,19.39,Online,2025-01-01 03:00:00,Urban,0
T00005,U0107,32.35,POS,2025-01-01 04:00:00,Urban,0
T00006,U0072,12.81,Online,2025-01-01 05:00:00,Urban,0
T00007,U0701,51.15,Online,2025-01-01 06:00:00,Urban,0
T00008,U0021,193.12,POS,2025-01-01 07:00:00,Urban,0
T00009,U0615,46.25,POS,2025-01-01 08:00:00,Urban,0
T00010,U0122,22.14,Mobile,2025-01-01 09:00:00,Urban,0
T00011,U0467,52.18,POS,2025-01-01 10:00:00,Urban,0
T00012,U0215,6.56,POS,2025-01-01 11:00:00,Suburban,0
T00013,U0331,109.76,Online,2025-01-01 12:00:00,Rural,0
T00014,U0459,34.97,Online,2025-01-01 13:00:00,Suburban,0
T00015,U0088,29.83,Online,2025-01-01 14:00:00,Suburban,0
T00016,U0373,44.08,POS,2025-01-01 15:00:00,Urban,0
T00017,U0100,49.01,POS,2025-01-01 16:00:00,Urban,0
T00018,U0872,3.72,Online,2025-01-01 17:00:00,Urban,0
T00019,U0664,57.38,POS,2025-01-01 18:00:00,Suburban,0
T00020,U0131,13.85,POS,2025-01-01 19:00:00,Rural,0
T00021,U0662,62.58,Online,2025-01-01 20:00:00,Suburban,0
T00022,U0309,86.45,Online,2025-01-01 21:00:00,Suburban,0
T00023,U0770,81.47,ATM,2025-01-01 22:00:00,Suburban,0
T00024,U0344,40.2,POS,2025-01-01 23:00:00,Urban,0
T00025,U0492,36.72,ATM,2025-01-02 00:00:00,Urban,0
T00026,U0414,7.71,Online,2025-01-02 01:00:00,Urban,0
T00027,U0806,74.66,Mobile,2025-01-02 02:00:00,Urban,0
T00028,U0386,15.83,Online,2025-01-02 03:00:00,Suburban,0
T00029,U0192,34.33,Online,2025-01-02 04:00:00,Urban,0
T00030,U0956,16.72,Mobile,2025-01-02 05:00:00,Urban,0
T00031,U0277,7.18,Online,2025-01-02 06:00:00,Urban,0
T00032,U0161,49.65,POS,2025-01-02 07:00:00,Urban,0
T00033,U0460,2.79,Online,2025-01-02 08:00:00,Urban,0
T00034,U0314,69.04,POS,2025-01-02 09:00:00,Urban,0
T00035,U0022,19.11,Mobile,2025-01-02 10:00:00,Urban,0
T00036,U0253,0.01,Online,2025-01-02 11:00:00,Suburban,0
T00037,U0748,35.78,POS,2025-01-02 12:00:00,Urban,0
T00038,U0857,2.4,Online,2025-01-02 13:00:00,Suburban,0
T00039,U0561,16.16,POS,2025-01-02 14:00:00,Suburban,0
T00040,U0475,61.38,Online,2025-01-02 15:00:00,Suburban,0
T00041,U0059,3.24,Online,2025-01-02 16:00:00,Suburban,0
T00042,U0511,91.42,Online,2025-01-02 17:00:00,Urban,0
T00043,U0682,0.19,Online,2025-01-02 18:00:00,Urban,0
T00044,U0476,14.17,Mobile,2025-01-02 19:00:00,Urban,0
T00045,U0700,67.53,Online,2025-01-02 20:00:00,Urban,0
T00046,U0976,19.01,Online,2025-01-02 21:00:00,Rural,0
T00047,U0783,5.37,Online,2025-01-02 22:00:00,Suburban,0
T00048,U0190,22.33,Online,2025-01-02 23:00:00,Urban,0
T00049,U0958,15.76,POS,2025-01-03 00:00:00,Urban,0
T00050,U0687,92.48,Mobile,2025-01-03 01:00:00,Urban,0
T00051,U0958,18.8,Online,2025-01-03 02:00:00,Suburban,0
T00052,U0563,77.78,ATM,2025-01-03 03:00:00,Suburban,0
T00053,U0876,111.22,POS,2025-01-03 04:00:00,Suburban,0
T00054,U0567,28.44,Online,2025-01-03 05:00:00,Rural,0
T00055,U0244,601.85,Online,2025-01-03 06:00:00,Urban,1
T00056,U0832,23.69,POS,2025-01-03 07:00:00,Urban,0
T00057,U0505,166.32,POS,2025-01-03 08:00:00,Urban,0
T00058,U0131,4.68,ATM,2025-01-03 09:00:00,Urban,0
T00059,U0485,58.08,Online,2025-01-03 10:00:00,Rural,0
T00060,U0819,34.04,Mobile,2025-01-03 11:00:00,Urban,0
T00061,U0647,24.52,POS,2025-01-03 12:00:00,Suburban,0
T00062,U0021,50.08,Online,2025-01-03 13:00:00,Urban,0
